transcript	theta_n1	theta_n2	half_life_rep1	half_life_rep2	mean_half_life
DNAJB14	0.5908	0.6036	0.7757	0.7491	0.7624
DNAJB6	0.2242	0.2378	2.7306	2.5524	2.6415
DNAJC1	0.2231	0.2329	2.7460	2.6141	2.6801
DNAJC10	0.0690	0.0806	9.6951	8.2484	8.9718
DNAJC11	0.1990	0.2349	3.1241	2.5894	2.8568
DNAJC16	0.7503	0.7011	0.4995	0.5740	0.5368
DNAJC17	0.4406	0.3597	1.1932	1.5548	1.3740
DNAJC2	0.1913	0.1950	3.2645	3.1950	3.2297
DNAJC21	0.1771	0.1699	3.5567	3.7216	3.6391
DNAJC3	0.4926	0.5595	1.0217	0.8454	0.9336
DNAJC5	0.3794	0.3553	1.4529	1.5792	1.5161
DNAJC6	0.5990	0.6387	0.7585	0.6809	0.7197
DNAJC7	0.1255	0.1228	5.1697	5.2920	5.2308
DNAJC8	0.1121	0.1072	5.8279	6.1132	5.9705
DNAJC9	0.2448	0.2669	2.4688	2.2321	2.3505
DNM1L	0.1368	0.1408	4.7100	4.5687	4.6393
DNM2	0.2320	0.2330	2.6262	2.6135	2.6198
DNMT1	0.1864	0.1692	3.3611	3.7404	3.5508
DNMT3B	0.2524	0.2427	2.3830	2.4935	2.4383
DNTTIP1	0.5305	0.4299	0.9169	1.2336	1.0752
DNTTIP2	0.5284	0.5628	0.9223	0.8377	0.8800
DOCK11	0.1349	0.1451	4.7841	4.4230	4.6036
DOCK2	0.1850	0.2399	3.3884	2.5267	2.9576
DOCK8	0.2444	0.2333	2.4734	2.6089	2.5411
DOCK9	0.5383	0.5567	0.8970	0.8521	0.8745
DOHH	0.2890	0.4713	2.0323	1.0874	1.5599
DOLPP1	0.6627	0.6550	0.6378	0.6514	0.6446
DOPEY1	0.6227	0.7196	0.7111	0.5451	0.6281
DOT1L	0.4548	0.4780	1.1428	1.0662	1.1045
DPF2	0.5024	0.4594	0.9931	1.1270	1.0600
DPH2	0.1704	0.1651	3.7111	3.8414	3.7763
DPH3	0.2743	0.2410	2.1624	2.5132	2.3378
DPH5	0.3065	0.2781	1.8936	2.1274	2.0105
DPH7	0.5617	0.4761	0.8403	1.0724	0.9563
DPM1	0.1933	0.2141	3.2269	2.8766	3.0518
DPM2	0.2739	0.2461	2.1658	2.4534	2.3096
DPP8	0.5123	0.4408	0.9652	1.1927	1.0789
DPP9	0.3468	0.3309	1.6276	1.7253	1.6764
DPY19L3	0.2486	0.3507	2.4255	1.6052	2.0153
DR1	0.4210	0.3948	1.2685	1.3803	1.3244
DRG1	0.1910	0.2440	3.2694	2.4775	2.8734
DROSHA	0.1973	0.2433	3.1535	2.4861	2.8198
DSC2	0.3914	0.4503	1.3960	1.1583	1.2772
DSCR3	0.4040	0.5379	1.3392	0.8979	1.1185
DSCR4	0.5455	0.5275	0.8790	0.9245	0.9017
DSG2	0.1708	0.2080	3.6999	2.9730	3.3365
DSN1	0.5593	0.5721	0.8460	0.8166	0.8313
DST	0.3738	0.5559	1.4806	0.8539	1.1673
DSTYK	0.7948	0.8013	0.4377	0.4290	0.4333
DTL	0.7352	0.7645	0.5216	0.4793	0.5005
DTNBP1	0.2880	0.3241	2.0406	1.7697	1.9052
DTWD1	0.6198	0.5972	0.7167	0.7623	0.7395
DTX2	0.6908	0.7029	0.5905	0.5711	0.5808
DUS1L	0.1226	0.1908	5.2993	3.2738	4.2866
DUS3L	0.3119	0.3122	1.8544	1.8524	1.8534
DUSP16	0.8156	0.7861	0.4100	0.4495	0.4297
DUSP3	0.2840	0.3535	2.0749	1.5892	1.8321
DUSP7	0.8533	0.8482	0.3611	0.3677	0.3644
DUT	0.1398	0.1604	4.6017	3.9656	4.2837
DVL1	0.2702	0.2371	2.2008	2.5614	2.3811
DVL3	0.1462	0.1847	4.3848	3.3941	3.8895
DYM	0.2635	0.2240	2.2664	2.7329	2.4996
DYNC1H1	0.2033	0.2267	3.0493	2.6957	2.8725
DYNC1I2	0.0969	0.0879	6.8013	7.5361	7.1687
DYNC1LI1	0.2631	0.2339	2.2705	2.6016	2.4360
DYNC1LI2	0.4917	0.4688	1.0244	1.0957	1.0601
DYNLL1	0.1339	0.1312	4.8233	4.9290	4.8761
DYNLL2	0.3510	0.3595	1.6036	1.5561	1.5798
DYRK1A	0.7964	0.7889	0.4355	0.4456	0.4405
DYRK2	0.8319	0.9121	0.3887	0.2851	0.3369
DYRK3	0.6899	0.6924	0.5919	0.5879	0.5899
E2F2	0.8413	0.8625	0.3766	0.3494	0.3630
E2F3	0.7951	0.8164	0.4373	0.4090	0.4231
E2F4	0.3146	0.3771	1.8346	1.4643	1.6494
E2F6	0.8885	0.8594	0.3160	0.3533	0.3346
E2F7	0.7538	0.7774	0.4945	0.4614	0.4780
E2F8	0.9246	0.8842	0.2681	0.3215	0.2948
E4F1	0.5776	0.5326	0.8043	0.9113	0.8578
EAF1	0.8725	0.8812	0.3365	0.3254	0.3309
EARS2	0.2317	0.2112	2.6300	2.9223	2.7762
EBAG9	0.2629	0.2862	2.2723	2.0555	2.1639
EBLN3P	0.5200	0.5491	0.9444	0.8702	0.9073
EBNA1BP2	0.0387	0.0680	17.5528	9.8360	13.6944
EBP	0.0709	0.1122	9.4312	5.8244	7.6278
ECD	0.2689	0.2939	2.2127	1.9918	2.1022
ECE1	0.4165	0.3067	1.2867	1.8923	1.5895
ECHDC1	0.1503	0.1512	4.2558	4.2273	4.2416
ECI1	0.1703	0.2325	3.7124	2.6198	3.1661
ECSIT	0.2245	0.2536	2.7264	2.3693	2.5478
ECT2	0.3409	0.4103	1.6629	1.3123	1.4876
EDC3	0.3420	0.4392	1.6558	1.1984	1.4271
EDC4	0.2000	0.1695	3.1070	3.7312	3.4191
EDEM1	0.6840	0.7813	0.6016	0.4559	0.5288
EDEM3	0.4247	0.4397	1.2536	1.1966	1.2251
EDF1	0.0879	0.0819	7.5346	8.1111	7.8229
EDRF1	0.5520	0.5489	0.8632	0.8706	0.8669
EEA1	0.6598	0.6404	0.6429	0.6777	0.6603
EED	0.5114	0.5358	0.9677	0.9033	0.9355
EEF1A1	0.0779	0.0856	8.5499	7.7471	8.1485
EEF1A1P5	0.1262	0.1262	5.1376	5.1393	5.1384
EEF1B2	0.0652	0.0882	10.2798	7.5106	8.8952
EEF1D	0.1180	0.1077	5.5183	6.0851	5.8017
EEF2	0.1188	0.1278	5.4828	5.0682	5.2755
EEF2K	0.2356	0.3684	2.5797	1.5085	2.0441
EEFSEC	0.4803	0.5121	1.0591	0.9658	1.0125
EFCAB14	0.6594	0.7242	0.6435	0.5381	0.5908
EFCAB2	0.2333	0.3494	2.6085	1.6127	2.1106
EFHD2	0.2585	0.2532	2.3175	2.3745	2.3460
EFL1	0.2183	0.3406	2.8146	1.6644	2.2395
EFR3A	0.5012	0.5744	0.9965	0.8114	0.9040
EFTUD2	0.1453	0.1263	4.4141	5.1337	4.7739
EGFL7	0.4292	0.3478	1.2363	1.6219	1.4291
EGLN1	0.3035	0.2994	1.9161	1.9478	1.9319
EGR1	0.8435	0.8612	0.3737	0.3510	0.3623
EHBP1	0.4985	0.5880	1.0045	0.7816	0.8930
EHBP1L1	0.1500	0.1736	4.2664	3.6359	3.9512
EHD1	0.4085	0.4195	1.3201	1.2746	1.2973
EHD4	0.3909	0.3767	1.3981	1.4664	1.4322
EHMT1	0.3654	0.4115	1.5242	1.3075	1.4158
EHMT2	0.1266	0.1883	5.1206	3.3231	4.2218
EI24	0.1063	0.0902	6.1654	7.3366	6.7510
EID1	0.0835	0.1258	7.9464	5.1575	6.5519
EIF1	0.3861	0.3875	1.4204	1.4140	1.4172
EIF1AD	0.7324	0.8095	0.5257	0.4180	0.4719
EIF1AX	0.1358	0.1337	4.7511	4.8297	4.7904
EIF1B	0.4459	0.4153	1.1741	1.2916	1.2328
EIF2A	0.1734	0.2342	3.6408	2.5977	3.1193
EIF2AK1	0.0751	0.0751	8.8728	8.8817	8.8773
EIF2AK2	0.1738	0.1566	3.6296	4.0685	3.8490
EIF2AK3	0.7867	0.7651	0.4486	0.4784	0.4635
EIF2AK4	0.1628	0.2142	3.8999	2.8752	3.3875
EIF2B1	0.1222	0.1431	5.3201	4.4899	4.9050
EIF2B3	0.2090	0.1849	2.9564	3.3903	3.1734
EIF2B4	0.1505	0.2443	4.2509	2.4741	3.3625
EIF2B5	0.2313	0.1960	2.6346	3.1778	2.9062
EIF2D	0.1565	0.1584	4.0728	4.0186	4.0457
EIF2S1	0.1588	0.1969	4.0089	3.1614	3.5851
EIF2S2	0.1732	0.1889	3.6440	3.3103	3.4771
EIF2S3	0.0786	0.1051	8.4728	6.2431	7.3580
EIF3A	0.2049	0.2276	3.0230	2.6838	2.8534
EIF3B	0.1267	0.1273	5.1161	5.0923	5.1042
EIF3C	0.3688	0.3488	1.5065	1.6161	1.5613
EIF3CL	0.3367	0.3740	1.6882	1.4797	1.5839
EIF3D	0.1378	0.1553	4.6747	4.1080	4.3914
EIF3E	0.1017	0.1275	6.4658	5.0826	5.7742
EIF3F	0.1198	0.1750	5.4295	3.6037	4.5166
EIF3G	0.0850	0.0973	7.8046	6.7729	7.2888
EIF3H	0.0967	0.0880	6.8153	7.5262	7.1707
EIF3I	0.0784	0.0881	8.4894	7.5199	8.0046
EIF3J	0.1402	0.1515	4.5897	4.2183	4.4040
EIF3K	0.0718	0.0762	9.3083	8.7502	9.0292
EIF3L	0.1827	0.1823	3.4354	3.4441	3.4398
EIF3M	0.1215	0.1027	5.3513	6.3940	5.8726
EIF4A2	0.6214	0.6160	0.7136	0.7241	0.7189
EIF4A3	0.2748	0.3179	2.1573	1.8115	1.9844
EIF4B	0.1281	0.1247	5.0546	5.2023	5.1285
EIF4E	0.3243	0.3427	1.7683	1.6517	1.7100
EIF4E2	0.1516	0.1912	4.2170	3.2670	3.7420
EIF4EBP1	0.0942	0.1505	7.0060	4.2500	5.6280
EIF4EBP2	0.0855	0.0803	7.7534	8.2777	8.0156
EIF4ENIF1	0.6453	0.7180	0.6688	0.5475	0.6081
EIF4G1	0.1785	0.2069	3.5242	2.9906	3.2574
EIF4G2	0.1410	0.1501	4.5620	4.2613	4.4117
EIF4G3	0.1820	0.1907	3.4500	3.2755	3.3627
EIF4H	0.1329	0.1448	4.8624	4.4311	4.6468
EIF5	0.3429	0.3796	1.6505	1.4518	1.5511
EIF5A	0.0674	0.0632	9.9359	10.6248	10.2803
EIF5B	0.0992	0.1283	6.6321	5.0482	5.8401
ELAC2	0.1419	0.1545	4.5309	4.1312	4.3311
ELAVL1	0.2519	0.2838	2.3879	2.0766	2.2322
ELF1	0.8352	0.7747	0.3844	0.4651	0.4248
ELF2	0.7083	0.7493	0.5626	0.5011	0.5318
ELF4	0.4898	0.5565	1.0301	0.8525	0.9413
ELK1	0.2680	0.2950	2.2217	1.9828	2.1022
ELK4	0.5100	0.4861	0.9718	1.0412	1.0065
ELL	0.8193	0.7221	0.4052	0.5413	0.4732
ELMO2	0.5796	0.5085	0.7998	0.9758	0.8878
ELMSAN1	0.8670	0.8380	0.3435	0.3808	0.3622
ELOA	0.5274	0.6031	0.9249	0.7501	0.8375
ELOF1	0.2898	0.2361	2.0255	2.5733	2.2994
ELOVL1	0.3923	0.4207	1.3916	1.2698	1.3307
ELOVL5	0.2331	0.2180	2.6122	2.8192	2.7157
ELOVL6	0.2945	0.3894	1.9871	1.4053	1.6962
ELP2	0.2336	0.2283	2.6051	2.6741	2.6396
ELP3	0.2328	0.2805	2.6158	2.1059	2.3608
ELP5	0.3477	0.4572	1.6226	1.1344	1.3785
ELP6	0.3345	0.3054	1.7021	1.9023	1.8022
EMC1	0.2506	0.2757	2.4028	2.1487	2.2758
EMC3	0.1692	0.1954	3.7390	3.1877	3.4633
EMC3-AS1	0.3519	0.3954	1.5982	1.3774	1.4878
EMC6	0.3034	0.2877	1.9171	2.0432	1.9801
EMC8	0.3852	0.3833	1.4249	1.4338	1.4293
EMD	0.1482	0.1768	4.3228	3.5618	3.9423
EMG1	0.3438	0.3118	1.6450	1.8548	1.7499
EML4	0.1783	0.2100	3.5304	2.9405	3.2354
EMP3	0.1020	0.1096	6.4427	5.9697	6.2062
EMSY	0.6394	0.7256	0.6795	0.5360	0.6078
ENDOD1	0.5308	0.5799	0.9161	0.7991	0.8576
ENO1	0.0625	0.0747	10.7437	8.9244	9.8341
ENOPH1	0.1791	0.2010	3.5126	3.0897	3.3011
ENOSF1	0.2614	0.2145	2.2872	2.8712	2.5792
ENSA	0.2562	0.2503	2.3423	2.4066	2.3744
ENTPD1-AS1	0.3890	0.3907	1.4071	1.3988	1.4029
ENY2	0.0892	0.0814	7.4226	8.1646	7.7936
EP300	0.7228	0.7266	0.5403	0.5345	0.5374
EP400	0.3063	0.4001	1.8950	1.3564	1.6257
EP400NL	0.6578	0.6206	0.6464	0.7151	0.6807
EPAS1	0.6407	0.5285	0.6773	0.9219	0.7996
EPB41	0.1071	0.1103	6.1198	5.9305	6.0252
EPB41L2	0.0849	0.1406	7.8093	4.5743	6.1918
EPC1	0.8939	0.8636	0.3090	0.3480	0.3285
EPC2	0.8156	0.7044	0.4099	0.5687	0.4893
EPHB4	0.6533	0.6967	0.6543	0.5810	0.6176
EPM2AIP1	0.7979	0.8303	0.4335	0.3907	0.4121
EPN1	0.1574	0.1629	4.0471	3.8984	3.9728
EPPK1	0.3635	0.4308	1.5342	1.2300	1.3821
EPRS	0.0891	0.0990	7.4243	6.6475	7.0359
EPS15	0.1355	0.1348	4.7600	4.7853	4.7726
EPS15L1	0.3894	0.4072	1.4050	1.3254	1.3652
ERAL1	0.1640	0.2252	3.8690	2.7164	3.2927
ERBIN	0.3903	0.3723	1.4007	1.4886	1.4447
ERC1	0.4445	0.3844	1.1791	1.4289	1.3040
ERCC2	0.2967	0.2355	1.9693	2.5813	2.2753
ERCC3	0.4060	0.5298	1.3308	0.9185	1.1247
ERCC6	0.5114	0.5736	0.9679	0.8131	0.8905
ERCC6L	0.6162	0.7128	0.7239	0.5557	0.6398
ERCC6L2	0.6166	0.5572	0.7230	0.8509	0.7870
ERCC8	0.3982	0.3818	1.3650	1.4411	1.4030
ERGIC2	0.2835	0.4275	2.0789	1.2427	1.6608
ERGIC3	0.1475	0.1448	4.3451	4.4310	4.3880
ERI1	0.4672	0.5473	1.1009	0.8746	0.9877
ERI2	0.3227	0.3546	1.7792	1.5832	1.6812
ERI3	0.2551	0.2305	2.3540	2.6456	2.4998
ERICH1	0.5601	0.5329	0.8441	0.9106	0.8774
ERLIN1	0.7683	0.7937	0.4741	0.4391	0.4566
ERLIN2	0.1769	0.1906	3.5609	3.2787	3.4198
ERMAP	0.5714	0.5509	0.8182	0.8658	0.8420
ERP29	0.1197	0.1568	5.4379	4.0637	4.7508
ERP44	0.1688	0.1018	3.7487	6.4545	5.1016
ESCO1	0.7025	0.6638	0.5718	0.6358	0.6038
ESCO2	0.6137	0.5585	0.7287	0.8479	0.7883
ESD	0.2059	0.1661	3.0066	3.8159	3.4112
ESF1	0.6726	0.7053	0.6208	0.5673	0.5941
ESPL1	0.2824	0.2466	2.0885	2.4480	2.2682
ESRRA	0.5993	0.6191	0.7579	0.7181	0.7380
ESYT1	0.1185	0.1320	5.4978	4.8950	5.1964
ESYT2	0.1707	0.1868	3.7024	3.3528	3.5276
ETF1	0.1365	0.1593	4.7244	3.9956	4.3600
ETFA	0.0685	0.1219	9.7652	5.3327	7.5489
ETNK1	0.3093	0.3069	1.8730	1.8905	1.8817
ETS2	0.8395	0.8939	0.3789	0.3090	0.3439
ETV3	0.8574	0.8860	0.3559	0.3192	0.3375
ETV6	0.6876	0.6215	0.5958	0.7135	0.6547
EVI5	0.5241	0.3956	0.9336	1.3766	1.1551
EVL	0.3029	0.2988	1.9207	1.9525	1.9366
EWSR1	0.0972	0.1230	6.7770	5.2826	6.0298
EXO1	0.4633	0.4182	1.1138	1.2798	1.1968
EXOC1	0.2720	0.3192	2.1830	1.8029	1.9930
EXOC2	0.1691	0.2177	3.7416	2.8237	3.2827
EXOC3	0.2301	0.3026	2.6509	1.9231	2.2870
EXOC3L2	0.4373	0.4234	1.2056	1.2589	1.2322
EXOC4	0.2072	0.2429	2.9850	2.4916	2.7383
EXOC5	0.1395	0.2021	4.6145	3.0704	3.8424
EXOC7	0.1985	0.2252	3.1331	2.7172	2.9251
EXOC8	0.8459	0.9415	0.3706	0.2442	0.3074
EXOG	0.5053	0.4355	0.9849	1.2120	1.0984
EXOSC10	0.2157	0.1927	2.8523	3.2383	3.0453
EXOSC2	0.2937	0.2995	1.9934	1.9471	1.9703
EXOSC4	0.3902	0.3402	1.4014	1.6667	1.5341
EXOSC6	0.6032	0.6695	0.7500	0.6260	0.6880
EXOSC7	0.3442	0.3080	1.6431	1.8829	1.7630
EXOSC9	0.2618	0.2062	2.2834	3.0024	2.6429
EXPH5	0.8324	0.8476	0.3880	0.3684	0.3782
EXT2	0.2461	0.2833	2.4535	2.0808	2.2672
EXTL3	0.4775	0.5072	1.0678	0.9795	1.0236
EYA3	0.3375	0.3564	1.6835	1.5730	1.6282
EZH2	0.2706	0.2958	2.1968	1.9766	2.0867
EZR	0.2324	0.2501	2.6210	2.4078	2.5144
F11R	0.3840	0.4286	1.4304	1.2386	1.3345
F2R	0.5939	0.5532	0.7692	0.8604	0.8148
F2RL3	0.7319	0.7506	0.5266	0.4991	0.5129
FADD	0.8538	0.8466	0.3605	0.3697	0.3651
FADS1	0.1097	0.1390	5.9628	4.6322	5.2975
FADS2	0.1870	0.2674	3.3489	2.2281	2.7885
FAF1	0.2354	0.2399	2.5830	2.5273	2.5552
FAF2	0.6138	0.6389	0.7286	0.6804	0.7045
FAH	0.1764	0.1562	3.5719	4.0798	3.8258
FAM102B	0.2672	0.2733	2.2300	2.1716	2.2008
FAM104A	0.8221	0.7529	0.4015	0.4958	0.4486
FAM117A	0.7164	0.6540	0.5500	0.6531	0.6016
FAM117B	0.6036	0.6502	0.7490	0.6598	0.7044
FAM118A	0.2646	0.3561	2.2555	1.5745	1.9150
FAM120A	0.3038	0.3054	1.9142	1.9019	1.9080
FAM120AOS	0.2552	0.2807	2.3526	2.1041	2.2283
FAM120B	0.5445	0.4932	0.8814	1.0198	0.9506
FAM122B	0.2035	0.1733	3.0458	3.6414	3.3436
FAM126A	0.3282	0.1877	1.7422	3.3341	2.5382
FAM126B	0.8392	0.8567	0.3793	0.3568	0.3680
FAM129B	0.2222	0.2970	2.7589	1.9668	2.3629
FAM133B	0.5714	0.4242	0.8180	1.2556	1.0368
FAM134C	0.5490	0.3587	0.8704	1.5600	1.2152
FAM136A	0.1614	0.1466	3.9369	4.3729	4.1549
FAM13A	0.5539	0.4551	0.8588	1.1415	1.0002
FAM13B	0.4705	0.5437	1.0902	0.8835	0.9869
FAM168B	0.4620	0.4253	1.1182	1.2514	1.1848
FAM171A1	0.2582	0.4292	2.3204	1.2362	1.7783
FAM175B	0.6872	0.7205	0.5965	0.5437	0.5701
FAM184A	0.6178	0.6192	0.7208	0.7179	0.7194
FAM192A	0.1617	0.1525	3.9301	4.1883	4.0592
FAM193A	0.5948	0.6198	0.7672	0.7167	0.7420
FAM193B	0.6327	0.6288	0.6921	0.6994	0.6957
FAM199X	0.3689	0.3368	1.5061	1.6878	1.5969
FAM207A	0.4265	0.4026	1.2468	1.3454	1.2961
FAM208A	0.2527	0.2110	2.3794	2.9253	2.6523
FAM208B	0.6655	0.6463	0.6329	0.6669	0.6499
FAM20B	0.2202	0.2157	2.7868	2.8535	2.8201
FAM210A	0.5338	0.5492	0.9084	0.8699	0.8892
FAM217B	0.6707	0.5923	0.6240	0.7726	0.6983
FAM222B	0.9190	0.8435	0.2758	0.3737	0.3248
FAM234B	0.1283	0.2212	5.0468	2.7733	3.9100
FAM32A	0.2119	0.2657	2.9114	2.2447	2.5781
FAM35A	0.1854	0.2272	3.3807	2.6895	3.0351
FAM46C	0.8351	0.8551	0.3845	0.3588	0.3717
FAM49B	0.2201	0.2221	2.7883	2.7593	2.7738
FAM50A	0.0809	0.0979	8.2178	6.7242	7.4710
FAM53C	0.7496	0.7666	0.5006	0.4764	0.4885
FAM60A	0.8467	0.7716	0.3696	0.4695	0.4195
FAM65A	0.2854	0.3253	2.0626	1.7615	1.9121
FAM65C	0.6417	0.5944	0.6753	0.7681	0.7217
FAM76B	0.7722	0.8635	0.4686	0.3480	0.4083
FAM78A	0.7300	0.7467	0.5294	0.5048	0.5171
FAM83A	0.2918	0.3042	2.0089	1.9113	1.9601
FAM83D	0.8776	0.8919	0.3300	0.3115	0.3208
FAM83H	0.3701	0.4001	1.4994	1.3564	1.4279
FAM8A1	0.6025	0.5718	0.7514	0.8172	0.7843
FAM91A1	0.5676	0.6142	0.8268	0.7278	0.7773
FAM98A	0.1358	0.1745	4.7492	3.6151	4.1821
FANCA	0.4817	0.4826	1.0548	1.0518	1.0533
FANCD2	0.2066	0.2344	2.9952	2.5948	2.7950
FANCE	0.6127	0.5858	0.7308	0.7864	0.7586
FANCI	0.1219	0.1529	5.3332	4.1764	4.7548
FANCL	0.4565	0.4876	1.1367	1.0367	1.0867
FAR1	0.2318	0.2567	2.6281	2.3367	2.4824
FARP2	0.2927	0.3282	2.0014	1.7428	1.8721
FARS2	0.2977	0.3256	1.9615	1.7595	1.8605
FARSA	0.2038	0.2470	3.0418	2.4428	2.7423
FARSB	0.1024	0.1357	6.4175	4.7516	5.5846
FASN	0.1986	0.2239	3.1309	2.7350	2.9330
FASTKD1	0.2810	0.2695	2.1012	2.2070	2.1541
FASTKD2	0.3860	0.3152	1.4209	1.8308	1.6258
FASTKD3	0.8166	0.8269	0.4087	0.3952	0.4020
FAT1	0.3755	0.3239	1.4724	1.7708	1.6216
FAU	0.0681	0.0611	9.8283	10.9861	10.4072
FBL	0.1107	0.0823	5.9098	8.0721	6.9909
FBRS	0.4774	0.4636	1.0680	1.1129	1.0905
FBRSL1	0.3865	0.3472	1.4188	1.6255	1.5222
FBXL14	0.7595	0.8322	0.4864	0.3883	0.4373
FBXL18	0.6713	0.7094	0.6231	0.5608	0.5919
FBXL19	0.2399	0.2088	2.5268	2.9592	2.7430
FBXL3	0.7206	0.7425	0.5437	0.5109	0.5273
FBXO11	0.5891	0.5423	0.7794	0.8869	0.8332
FBXO18	0.3332	0.3129	1.7102	1.8470	1.7786
FBXO21	0.6565	0.5765	0.6487	0.8067	0.7277
FBXO22	0.3483	0.3304	1.6189	1.7284	1.6736
FBXO28	0.7631	0.8006	0.4813	0.4299	0.4556
FBXO30	0.8504	0.8452	0.3648	0.3715	0.3682
FBXO34	0.7260	0.7107	0.5354	0.5589	0.5472
FBXO38	0.5186	0.6501	0.9480	0.6601	0.8041
FBXO42	0.6290	0.6811	0.6990	0.6065	0.6527
FBXO45	0.6707	0.6807	0.6240	0.6072	0.6156
FBXO46	0.6274	0.6749	0.7021	0.6169	0.6595
FBXO5	0.9250	0.8962	0.2676	0.3059	0.2868
FBXO7	0.1763	0.1613	3.5732	3.9392	3.7562
FBXO9	0.2661	0.2452	2.2405	2.4645	2.3525
FBXW11	0.7752	0.7516	0.4644	0.4978	0.4811
FBXW2	0.5145	0.4388	0.9594	1.1998	1.0796
FBXW5	0.1651	0.2202	3.8410	2.7862	3.3136
FBXW7	0.5229	0.5995	0.9366	0.7574	0.8470
FCHO1	0.3959	0.4076	1.3753	1.3241	1.3497
FCHSD2	0.5767	0.6155	0.8063	0.7253	0.7658
FDFT1	0.1754	0.2000	3.5942	3.1068	3.3505
FDPS	0.1151	0.1200	5.6687	5.4225	5.5456
FECH	0.1837	0.2584	3.4158	2.3184	2.8671
FEM1A	0.8396	0.8496	0.3788	0.3659	0.3723
FEM1B	0.8848	0.8341	0.3207	0.3859	0.3533
FER	0.3891	0.2898	1.4065	2.0252	1.7158
FERMT3	0.2299	0.1772	2.6536	3.5544	3.1040
FGD5-AS1	0.3295	0.2967	1.7338	1.9692	1.8515
FGD6	0.4375	0.5027	1.2048	0.9923	1.0985
FGF2	0.6138	0.6453	0.7286	0.6687	0.6987
FGFR1OP2	0.7587	0.6998	0.4875	0.5760	0.5317
FGFR3	0.4725	0.4657	1.0838	1.1057	1.0948
FGFRL1	0.6377	0.6150	0.6828	0.7262	0.7045
FH	0.0920	0.0850	7.1815	7.8028	7.4922
FHL3	0.6113	0.5864	0.7336	0.7852	0.7594
FHOD1	0.1973	0.1931	3.1545	3.2309	3.1927
FIGNL1	0.8411	0.8523	0.3768	0.3624	0.3696
FIRRE	0.2947	0.2778	1.9850	2.1302	2.0576
FKBP14	0.5761	0.7672	0.8077	0.4756	0.6416
FKBP15	0.5824	0.7124	0.7938	0.5562	0.6750
FKBP4	0.1194	0.1345	5.4505	4.8000	5.1252
FKBP5	0.1584	0.1266	4.0183	5.1204	4.5694
FKBP8	0.0803	0.1184	8.2849	5.5024	6.8937
FLAD1	0.5660	0.5174	0.8305	0.9514	0.8910
FLII	0.1245	0.1372	5.2150	4.6961	4.9556
FLNA	0.1027	0.1135	6.3962	5.7525	6.0743
FLNB	0.1642	0.1677	3.8635	3.7765	3.8200
FLNC	0.1736	0.1935	3.6361	3.2229	3.4295
FLOT1	0.1369	0.1608	4.7074	3.9532	4.3303
FLOT2	0.0957	0.1655	6.8877	3.8311	5.3594
FLVCR1	0.5229	0.6040	0.9365	0.7482	0.8423
FMNL3	0.4431	0.3511	1.1842	1.6027	1.3934
FMR1	0.3372	0.3173	1.6851	1.8160	1.7506
FNBP1L	0.7678	0.7533	0.4747	0.4952	0.4850
FNBP4	0.6231	0.6493	0.7103	0.6614	0.6859
FNDC3A	0.4721	0.6132	1.0849	0.7297	0.9073
FNDC3B	0.7116	0.6536	0.5575	0.6538	0.6056
FNIP2	0.6032	0.6790	0.7499	0.6100	0.6800
FOPNL	0.2478	0.2467	2.4336	2.4469	2.4403
FOSL1	0.8706	0.8760	0.3390	0.3321	0.3355
FOXJ2	0.8115	0.7978	0.4154	0.4336	0.4245
FOXJ3	0.8242	0.8595	0.3987	0.3532	0.3760
FOXK1	0.4776	0.4704	1.0674	1.0906	1.0790
FOXK2	0.5240	0.5463	0.9337	0.8770	0.9054
FOXM1	0.2739	0.2946	2.1652	1.9864	2.0758
FOXN2	0.7891	0.7807	0.4453	0.4569	0.4511
FOXO3	0.7767	0.7242	0.4624	0.5381	0.5003
FOXP1	0.7634	0.7598	0.4808	0.4860	0.4834
FOXP4	0.3398	0.2983	1.6693	1.9570	1.8131
FOXRED2	0.1616	0.2028	3.9324	3.0577	3.4951
FPGS	0.2094	0.2175	2.9503	2.8261	2.8882
FRMD8	0.2907	0.3412	2.0179	1.6612	1.8395
FRRS1	0.5151	0.4698	0.9577	1.0926	1.0251
FRYL	0.5319	0.6222	0.9133	0.7120	0.8126
FSCN1	0.1603	0.1891	3.9672	3.3075	3.6373
FTH1	0.0904	0.0940	7.3147	7.0203	7.1675
FTL	0.0472	0.0507	14.3425	13.3133	13.8279
FTO	0.2038	0.2281	3.0410	2.6774	2.8592
FTSJ3	0.1887	0.1919	3.3142	3.2533	3.2838
FUBP1	0.2227	0.2168	2.7518	2.8360	2.7939
FUBP3	0.2511	0.2343	2.3975	2.5961	2.4968
FUCA2	0.1328	0.0982	4.8655	6.7029	5.7842
FURIN	0.3462	0.3047	1.6310	1.9071	1.7690
FUS	0.1423	0.1559	4.5167	4.0885	4.3026
FUT10	0.5488	0.6027	0.8709	0.7508	0.8109
FUT11	0.8740	0.8856	0.3346	0.3197	0.3271
FUT8	0.4107	0.3830	1.3106	1.4357	1.3731
FXN	0.2393	0.3474	2.5346	1.6244	2.0795
FXR1	0.2141	0.2677	2.8767	2.2246	2.5506
FXR2	0.5342	0.6508	0.9072	0.6588	0.7830
FXYD5	0.1240	0.1423	5.2372	4.5151	4.8761
